No,;Time;Source;Destination;;Time 1;Time 2;Delay;Total Delay;233,631491;;Delay 1;Delay 2;Jitter;Total Jitter;233,612306
297;150,54184100;172,20,10,6;20,197,71,89;;150,541841;153,789713;3,247872;;;;3,215484;0,032388;-3,183096;;
299;153,78971300;172,20,10,6;31,13,95,60;;153,789713;153,822101;0,032388;;;;-0,31048;0,342868;0,653348;;
300;153,82210100;31,13,95,60;172,20,10,6;;153,822101;154,164969;0,342868;;;;0,287809;0,055059;-0,23275;;
301;154,16496900;31,13,95,60;172,20,10,6;;154,164969;154,220028;0,055059;;;;-5,206823;5,261882;10,468705;;
302;154,22002800;172,20,10,6;31,13,95,60;;154,220028;159,48191;5,261882;;;;5,230639;0,031243;-5,199396;;
310;159,48191000;172,20,10,6;103,10,124,162;;159,48191;159,513153;0,031243;;;;-0,35519;0,386433;0,741623;;
311;159,51315300;103,10,124,162;172,20,10,6;;159,513153;159,899586;0,386433;;;;0,336463;0,04997;-0,286493;;
312;159,89958600;31,13,95,60;172,20,10,6;;159,899586;159,949556;0,04997;;;;0,001283;0,048687;0,047404;;
313;159,94955600;172,20,10,6;31,13,95,60;;159,949556;159,998243;0,048687;;;;0,01364;0,035047;0,021407;;
314;159,99824300;172,20,10,6;31,13,95,60;;159,998243;160,03329;0,035047;;;;-11,969993;12,00504;23,975033;;
315;160,03329000;31,13,95,60;172,20,10,6;;160,03329;172,03833;12,00504;;;;12,004852;0,000188;-12,004664;;
316;172,03833000;172,20,10,6;173,194,59,73;;172,03833;172,038518;0,000188;;;;-0,037969;0,038157;0,076126;;
317;172,03851800;172,20,10,6;173,194,59,73;;172,038518;172,076675;0,038157;;;;0,038157;0;-0,038157;;
318;172,07667500;173,194,59,73;172,20,10,6;;172,076675;172,076675;0;;;;-7,381078;7,381078;14,762156;;
319;172,07667500;173,194,59,73;172,20,10,6;;172,076675;179,457753;7,381078;;;;7,337047;0,044031;-7,293016;;
327;179,45775300;31,13,95,60;172,20,10,6;;179,457753;179,501784;0,044031;;;;-2,522956;2,566987;5,089943;;
328;179,50178400;172,20,10,6;31,13,95,60;;179,501784;182,068771;2,566987;;;;2,521654;0,045333;-2,476321;;
329;182,06877100;172,20,10,6;31,13,95,60;;182,068771;182,114104;0,045333;;;;-0,268074;0,313407;0,581481;;
330;182,11410400;31,13,95,60;172,20,10,6;;182,114104;182,427511;0,313407;;;;0,270852;0,042555;-0,228297;;
331;182,42751100;31,13,95,60;172,20,10,6;;182,427511;182,470066;0,042555;;;;-4,066805;4,10936;8,176165;;
332;182,47006600;172,20,10,6;31,13,95,60;;182,470066;186,579426;4,10936;;;;4,064045;0,045315;-4,01873;;
340;186,57942600;172,20,10,6;103,10,124,162;;186,579426;186,624741;0,045315;;;;-1,217908;1,263223;2,481131;;
341;186,62474100;103,10,124,162;172,20,10,6;;186,624741;187,887964;1,263223;;;;1,22417;0,039053;-1,185117;;
342;187,88796400;172,20,10,6;13,69,239,73;;187,887964;187,927017;0,039053;;;;-0,567091;0,606144;1,173235;;
343;187,92701700;13,69,239,73;172,20,10,6;;187,927017;188,533161;0,606144;;;;0,57315;0,032994;-0,540156;;
344;188,53316100;172,20,10,6;20,197,71,89;;188,533161;188,566155;0,032994;;;;0,001061;0,031933;0,030872;;
345;188,56615500;20,197,71,89;172,20,10,6;;188,566155;188,598088;0,031933;;;;-0,010941;0,042874;0,053815;;
346;188,59808800;20,197,71,89;172,20,10,6;;188,598088;188,640962;0,042874;;;;-0,646568;0,689442;1,33601;;
347;188,64096200;172,20,10,6;20,197,71,89;;188,640962;189,330404;0,689442;;;;0,643679;0,045763;-0,597916;;
348;189,33040400;172,20,10,6;13,69,239,73;;189,330404;189,376167;0,045763;;;;-0,032986;0,078749;0,111735;;
349;189,37616700;13,69,239,73;172,20,10,6;;189,376167;189,454916;0,078749;;;;0,052695;0,026054;-0,026641;;
350;189,45491600;172,20,10,6;155,133,239,51;;189,454916;189,48097;0,026054;;;;-14,929146;14,9552;29,884346;;
351;189,48097000;155,133,239,51;172,20,10,6;;189,48097;204,43617;14,9552;;;;14,914185;0,041015;-14,87317;;
364;204,43617000;172,20,10,6;31,13,95,60;;204,43617;204,477185;0,041015;;;;-0,232551;0,273566;0,506117;;
365;204,47718500;31,13,95,60;172,20,10,6;;204,477185;204,750751;0,273566;;;;0,218093;0,055473;-0,16262;;
366;204,75075100;31,13,95,60;172,20,10,6;;204,750751;204,806224;0,055473;;;;-5,515181;5,570654;11,085835;;
367;204,80622400;172,20,10,6;31,13,95,60;;204,806224;210,376878;5,570654;;;;5,529308;0,041346;-5,487962;;
375;210,37687800;172,20,10,6;20,197,71,89;;210,376878;210,418224;0,041346;;;;0,012226;0,02912;0,016894;;
376;210,41822400;20,197,71,89;172,20,10,6;;210,418224;210,447344;0,02912;;;;-0,02515;0,05427;0,07942;;
377;210,44734400;20,197,71,89;172,20,10,6;;210,447344;210,501614;0,05427;;;;-3,145204;3,199474;6,344678;;
378;210,50161400;172,20,10,6;20,197,71,89;;210,501614;213,701088;3,199474;;;;3,174105;0,025369;-3,148736;;
465;213,70108800;172,20,10,6;103,10,124,162;;213,701088;213,726457;0,025369;;;;-3,326717;3,352086;6,678803;;
466;213,72645700;103,10,124,162;172,20,10,6;;213,726457;217,078543;3,352086;;;;3,351927;0,000159;-3,351768;;
467;217,07854300;172,20,10,6;173,194,59,73;;217,078543;217,078702;0,000159;;;;-0,053315;0,053474;0,106789;;
468;217,07870200;172,20,10,6;173,194,59,73;;217,078702;217,132176;0,053474;;;;0,053474;0;-0,053474;;
469;217,13217600;173,194,59,73;172,20,10,6;;217,132176;217,132176;0;;;;-4,069622;4,069622;8,139244;;
470;217,13217600;173,194,59,73;172,20,10,6;;217,132176;221,201798;4,069622;;;;4,022095;0,047527;-3,974568;;
525;221,20179800;172,20,10,6;31,13,95,60;;221,201798;221,249325;0,047527;;;;-0,247524;0,295051;0,542575;;
